City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Krasnoselkup,RU,2022-06-12 02:51:44,65.7,82.4667,71.62,39,48,23.87
168,Lasa,IT,2022-06-12 02:51:44,46.6166,10.7002,59.88,72,0,4.56
169,Maunabo,PR,2022-06-12 02:51:45,18.0072,-65.8993,82.24,81,93,15.43
170,Heze,CN,2022-06-12 02:51:45,35.2431,115.4411,89.04,30,97,9.6
171,Yar-Sale,RU,2022-06-12 02:51:46,66.8333,70.8333,54.99,82,100,19.1
172,Kaduqli,SD,2022-06-12 02:51:46,11.0167,29.7167,78.12,64,75,4.0
173,Maicao,CO,2022-06-12 02:51:46,11.3832,-72.2432,79.14,83,100,10.31
174,Deputatskiy,RU,2022-06-12 02:51:47,69.3,139.9,61.57,35,18,19.73
175,Maragogi,BR,2022-06-12 02:50:25,-9.0122,-35.2225,73.78,91,7,5.3
176,Kelvington,CA,2022-06-12 02:51:52,52.1667,-103.5343,59.23,74,86,3.67
177,Hualmay,PE,2022-06-12 02:51:53,-11.0964,-77.6139,62.55,84,15,9.35
178,Paramonga,PE,2022-06-12 02:51:53,-10.6667,-77.8333,62.92,86,22,9.51
179,Kodiak,US,2022-06-12 02:51:53,57.79,-152.4072,56.71,62,0,9.22
180,Vao,NC,2022-06-12 02:51:54,-22.6667,167.4833,70.54,81,100,13.96
181,Las Choapas,MX,2022-06-12 02:51:54,17.9333,-94.0833,76.84,89,0,2.77
182,Ostrovnoy,RU,2022-06-12 02:51:54,68.0531,39.5131,53.08,60,100,19.08
183,Rabo De Peixe,PT,2022-06-12 02:51:55,37.8,-25.5833,60.31,97,40,11.5
184,Caravelas,BR,2022-06-12 02:51:55,-17.7125,-39.2481,73.04,87,39,7.07
185,Panjakent,TJ,2022-06-12 02:51:56,39.4952,67.6093,68.77,62,100,2.37
186,Kahului,US,2022-06-12 02:51:56,20.8947,-156.47,84.22,66,40,28.77
187,Kinshasa,CD,2022-06-12 02:51:56,-4.3246,15.3215,71.92,83,0,6.91
188,Simoes,BR,2022-06-12 02:51:57,-7.5989,-40.8178,70.0,86,32,5.82
189,Lorengau,PG,2022-06-12 02:51:57,-2.0226,147.2712,85.57,65,96,10.51
190,Coihaique,CL,2022-06-12 02:48:11,-45.5752,-72.0662,27.21,93,100,1.14
191,Kruisfontein,ZA,2022-06-12 02:51:58,-34.0033,24.7314,63.55,27,49,15.55
192,Hillsboro,US,2022-06-12 02:51:58,45.5229,-122.9898,65.01,81,100,4.61
193,De-Kastri,RU,2022-06-12 02:51:58,51.4667,140.7833,60.01,59,12,9.04
194,Stornoway,GB,2022-06-12 02:51:59,58.2093,-6.3865,51.76,86,75,16.11
195,Sobolevo,RU,2022-06-12 02:51:59,54.4299,31.8996,57.04,96,2,6.26
196,Prince Rupert,CA,2022-06-12 02:52:00,54.3161,-130.3201,51.49,87,100,19.57
197,Preobrazheniye,RU,2022-06-12 02:52:00,42.9019,133.9064,58.32,80,77,7.4
