City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,La Mana,EC,-0.9333,-79.2167,74.71,85,78,1.34,broken clouds
245,Mokhsogollokh,RU,61.4681,128.9203,61.21,57,100,5.95,overcast clouds
246,Maldonado,UY,-34.6667,-54.9167,52.23,92,100,1.81,moderate rain
247,Charters Towers,AU,-20.1,146.2667,73.27,55,1,6.4,clear sky
248,Camacha,PT,33.0833,-16.3333,65.62,77,20,8.05,few clouds
249,Udala,ES,43.0778,-2.5125,70.38,87,95,2.19,overcast clouds
250,Ancud,CL,-41.8697,-73.8203,41.23,74,7,9.24,clear sky
251,Brae,GB,60.3964,-1.353,54.14,93,100,13.13,overcast clouds
252,Qingdao,CN,36.0986,120.3719,71.19,84,100,16.96,moderate rain
253,Luqiao,CN,28.5808,121.3772,86.02,78,58,5.21,broken clouds
254,Cabedelo,BR,-6.9811,-34.8339,72.27,91,13,10.13,few clouds
255,Warri,NG,5.5167,5.75,73.54,96,100,1.61,overcast clouds
256,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.19,92,100,0.85,overcast clouds
257,Burnie,AU,-41.0667,145.9167,55.94,68,100,5.91,overcast clouds
258,Tuatapere,NZ,-46.1333,167.6833,46.26,74,6,1.95,clear sky
259,Cabo San Lucas,MX,22.8909,-109.9124,88.18,42,20,10.36,few clouds
260,Raton,US,36.9034,-104.4391,84.54,26,0,19.57,clear sky
261,Wawa,NG,9.9022,4.4192,73.67,88,96,6.76,overcast clouds
262,Rawson,AR,-43.3002,-65.1023,49.73,56,100,28.72,overcast clouds
263,Ixtapa,MX,20.7,-105.2,83.23,78,100,5.75,overcast clouds
264,Searcy,US,35.2506,-91.7363,89.98,77,0,0.0,clear sky
265,Sakaraha,MG,-22.9,44.5333,54.66,90,0,5.17,clear sky
266,Pevek,RU,69.7008,170.3133,33.73,80,15,9.57,few clouds
267,Kasongo,CD,-4.45,26.6667,71.92,51,11,3.58,few clouds
268,Henties Bay,NA,-22.116,14.2845,57.22,81,3,8.72,clear sky
269,Anlu,CN,31.1661,112.5831,82.45,61,0,11.32,clear sky
270,Fonte Boa,BR,-2.4959,-66.2662,71.83,99,100,1.19,overcast clouds
271,Saint-Pierre,RE,-21.3393,55.4781,69.48,64,0,8.05,clear sky
272,Muroto,JP,33.2833,134.15,74.23,78,100,0.69,light rain
273,Talnakh,RU,69.4865,88.3972,54.21,95,100,9.13,moderate rain
274,Faya,SA,18.3851,42.4509,63.12,31,2,3.83,clear sky
275,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.92,87,100,6.53,overcast clouds
276,Concepcion Del Oro,MX,24.6333,-101.4167,73.22,28,63,24.14,broken clouds
277,Kahta,TR,37.7855,38.6237,74.57,39,0,4.09,clear sky
278,Solnechnyy,RU,50.7214,136.6319,62.24,73,100,5.7,overcast clouds
279,Ballina,AU,-28.8667,153.5667,68.02,55,2,6.82,clear sky
280,Kavieng,PG,-2.5744,150.7967,84.33,69,16,14.65,few clouds
281,Bengkulu,ID,-3.8004,102.2655,78.39,79,100,2.59,overcast clouds
282,Gat,IL,31.61,34.7642,76.82,100,0,4.23,clear sky
283,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,93,3,5.57,clear sky
284,Andenes,NO,69.3143,16.1194,44.58,93,75,12.66,broken clouds
285,Wahpeton,US,46.2652,-96.6059,75.92,43,0,13.8,clear sky
286,Parana,AR,-31.732,-60.5238,56.55,75,3,6.2,clear sky
287,Byron Bay,AU,-28.65,153.6167,67.95,51,0,7.29,clear sky
288,Noumea,NC,-22.2763,166.4572,76.98,99,100,6.08,light rain
289,West Point,US,33.6076,-88.6503,89.11,67,0,4.61,clear sky
290,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,75,18.41,broken clouds
291,Isla Vista,US,34.4133,-119.861,89.38,60,0,6.91,clear sky
292,Pangnirtung,CA,66.1451,-65.7125,31.5,94,97,3.31,overcast clouds
293,Skjervoy,NO,70.0311,20.9714,45.79,73,5,2.66,clear sky
294,Trincomalee,LK,8.5711,81.2335,79.52,76,100,11.54,overcast clouds
295,Tiznit,MA,29.5833,-9.5,70.21,55,0,1.25,clear sky
296,Fortuna,US,40.5982,-124.1573,58.93,71,100,9.22,overcast clouds
297,Nara,JP,34.6851,135.8049,79.5,52,100,4.52,overcast clouds
298,Florida,US,28.7505,-82.5001,85.98,84,0,0.0,clear sky
299,Duki,PK,30.1541,68.5728,81.1,45,0,6.78,clear sky
300,Fairbanks,US,64.8378,-147.7164,72.61,50,75,5.75,broken clouds
301,Mocuba,MZ,-16.8392,36.9856,62.83,99,43,2.24,scattered clouds
302,Cockburn Town,TC,21.4612,-71.1419,81.41,80,100,15.46,overcast clouds
303,Taoudenni,ML,22.6783,-3.9836,96.39,24,94,3.96,overcast clouds
304,Jardim,BR,-21.4803,-56.1381,71.37,66,0,4.16,clear sky
305,Eureka,US,40.8021,-124.1637,59.74,73,100,3.0,overcast clouds
306,Maizuru,JP,35.45,135.3333,78.69,62,100,3.6,overcast clouds
307,Ijui,BR,-28.3878,-53.9147,62.69,91,100,4.99,overcast clouds
308,Maumere,ID,-8.6199,122.2111,82.31,70,68,3.53,broken clouds
309,Jibuti,DJ,11.5,42.5,84.6,56,99,3.69,overcast clouds
310,Key Largo,US,25.0865,-80.4473,82.99,68,7,12.84,clear sky
311,Hasaki,JP,35.7333,140.8333,75.6,81,100,8.99,moderate rain
312,Laguna,US,38.421,-121.4238,88.32,26,0,18.41,clear sky
313,La Vega,DO,19.2221,-70.5296,74.28,83,100,4.79,overcast clouds
314,Mackenzie,CA,55.2999,-123.1698,55.62,94,100,5.75,overcast clouds
315,Khani,GE,41.9563,42.9566,54.97,90,89,3.02,overcast clouds
316,Bardiyah,LY,31.7561,25.0865,72.68,84,0,7.92,clear sky
317,Chabahar,IR,25.2919,60.643,83.19,86,88,11.23,overcast clouds
318,Broome,US,42.2506,-75.833,74.01,84,75,8.05,broken clouds
319,Shakawe,BW,-18.3667,21.85,49.23,43,0,4.76,clear sky
320,Bacolod,PH,10.6667,122.95,84.79,74,29,4.92,scattered clouds
321,Kenora,CA,49.8167,-94.4337,64.08,73,8,12.33,clear sky
322,Calvinia,ZA,-31.4707,19.776,47.46,45,58,9.28,broken clouds
323,Moranbah,AU,-22.0016,148.0466,66.49,60,100,10.85,overcast clouds
324,Te Anau,NZ,-45.4167,167.7167,45.72,84,10,0.72,clear sky
325,Bourail,NC,-21.5667,165.4833,79.83,73,98,2.73,light rain
326,Formosa,AR,-26.1775,-58.1781,67.19,97,100,3.42,overcast clouds
327,Coaraci,BR,-14.6408,-39.5511,61.16,96,3,1.74,clear sky
