City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
576,Boyolangu,ID,80.08,few clouds,-8.1181,111.8935,Yos ega cv
579,Green River,US,87.19,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
585,Parit Buntar,MY,78.78,few clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
586,Sola,VU,81.34,broken clouds,-13.8833,167.55,Leumerus Bungalows
587,Mazagao,BR,77.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
589,Chakulia,IN,83.21,overcast clouds,22.4833,86.7167,BKD
592,Malindi,KE,76.91,light rain,-3.2175,40.1191,African House Resort
593,Marsh Harbour,BS,81.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
598,Erenhot,CN,80.94,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
600,Funadhoo,MV,83.05,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
601,Havelock,US,80.55,clear sky,34.8791,-76.9013,Sherwood Motel
602,Dicabisagan,PH,87.89,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
603,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
605,Bafq,IR,80.94,clear sky,31.6128,55.4107,Alamdar Hotel
606,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
607,Nha Trang,VN,84.2,few clouds,12.25,109.1833,Hanoi Golden Hotel
608,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
609,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
613,Wilmington,US,78.71,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
615,Saint Anthony,US,76.78,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
622,Auki,SB,84.06,clear sky,-8.7676,160.7034,Auki Motel
624,Totness,SR,77.04,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
631,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
633,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
634,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
636,Qiqihar,CN,75.4,clear sky,47.3408,123.9672,Ji Hotel Qiqihar Bu Kui Street
637,Ha Tinh,VN,84.81,overcast clouds,18.3333,105.9,Phú Quý
638,Jiayuguan,CN,77.79,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
641,Lincolnton,US,76.35,clear sky,35.4737,-81.2545,Hampton Inn Lincolnton
644,Bajil,YE,84.88,broken clouds,15.0584,43.2851,فندق حضرموت
645,Barcelona,ES,87.33,clear sky,41.3888,2.159,Axel Hotel Barcelona
648,North Platte,US,87.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
649,Sterling,US,80.01,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
650,Ransang,PH,85.46,few clouds,8.9603,117.5828,Black and Crystal Sand Campsite
655,Itarema,BR,76.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
657,Hirara,JP,81.93,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
658,Jizan,SA,86.02,clear sky,17.3333,42.6667,شهدان. ابوالحجر
659,Loiza,PR,82.4,clear sky,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
663,Keti Bandar,PK,83.89,scattered clouds,24.1447,67.4497,Haji laloo memon house
664,Lucea,JM,79.39,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
668,Alamos,MX,80.94,overcast clouds,27.0167,-108.9333,Luz del Sol
672,Challans,FR,75.4,clear sky,46.8436,-1.8749,Citotel Le Challans
674,Salinopolis,BR,77.81,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
675,Rio Viejo,CO,76.66,overcast clouds,8.5874,-73.839,Hotel 5 Estrellas
682,Mutis,CO,77.77,overcast clouds,6.2262,-77.4044,Paraiso Escondido
686,Darab,IR,83.73,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
688,Bousso,TD,75.61,overcast clouds,10.4795,16.7117,
692,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
693,Ciudad Bolivar,VE,80.87,clear sky,8.1222,-63.5497,Hotel Edi
695,Majene,ID,80.6,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
698,Miramar,US,84.22,clear sky,25.9873,-80.2323,Stadium Hotel
707,Baoding,CN,83.01,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
708,Jieshi,CN,82.11,moderate rain,22.8134,115.8257,Yuehai Hotel
712,Billings,US,83.28,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
713,Tres Picos,MX,77.47,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
717,Russell,US,89.2,clear sky,32.3502,-85.1999,Macs
722,Tambilil,PH,83.62,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
723,Kroya,ID,78.76,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
